Series Code,Series Name,Topic,SubTopic1,SubTopic2,SubTopic3
AG.PRD.CROP.XD,Crop production index (2004-2006 = 100),Environment,Agricultural production,,
AG.PRD.FOOD.XD,Food production index (2004-2006 = 100),Environment,Agricultural production,,
AG.PRD.LVSK.XD,Livestock production index (2004-2006 = 100),Environment,Agricultural production,,
AG.SRF.TOTL.K2,Surface area (sq. km),Environment,Land use,,
AG.YLD.CREL.KG,Cereal yield (kg per hectare),Environment,Agricultural production,,
BG.GSR.NFSV.GD.ZS,Trade in services (% of GDP),Economic Policy & Debt,Balance of payments,Current account,"Goods, services & income"
BM.GSR.CMCP.ZS,"Communications, computer, etc. (% of service imports, BoP)",Economic Policy & Debt,Balance of payments,Current account,"Goods, services & income"
BM.GSR.FCTY.CD,"Primary income payments (BoP, current US$)",Economic Policy & Debt,Balance of payments,Current account,"Goods, services & income"
BM.GSR.GNFS.CD,"Imports of goods and services (BoP, current US$)",Economic Policy & Debt,Balance of payments,Current account,"Goods, services & income"
BM.GSR.INSF.ZS,"Insurance and financial services (% of service imports, BoP)",Economic Policy & Debt,Balance of payments,Current account,"Goods, services & income"
BM.GSR.MRCH.CD,"Goods imports (BoP, current US$)",Economic Policy & Debt,Balance of payments,Current account,"Goods, services & income"
BM.GSR.NFSV.CD,"Service imports (BoP, current US$)",Economic Policy & Debt,Balance of payments,Current account,"Goods, services & income"
BM.GSR.ROYL.CD,"Charges for the use of intellectual property, payments (BoP, current US$)",Economic Policy & Debt,Balance of payments,Current account,"Goods, services & income"
BM.GSR.TOTL.CD,"Imports of goods, services and primary income (BoP, current US$)",Economic Policy & Debt,Balance of payments,Current account,"Goods, services & income"
BM.GSR.TRAN.ZS,"Transport services (% of service imports, BoP)",Economic Policy & Debt,Balance of payments,Current account,"Goods, services & income"
BM.GSR.TRVL.ZS,"Travel services (% of service imports, BoP)",Economic Policy & Debt,Balance of payments,Current account,"Goods, services & income"
BM.KLT.DINV.CD.WD,"Foreign direct investment, net outflows (BoP, current US$)",Economic Policy & Debt,Balance of payments,Capital & financial account,
BM.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net outflows (% of GDP)",Economic Policy & Debt,Balance of payments,Capital & financial account,
BM.TRF.PRVT.CD,"Secondary income, other sectors, payments (BoP, current US$)",Economic Policy & Debt,Balance of payments,Current account,Transfers
BM.TRF.PWKR.CD.DT,"Personal remittances, paid (current US$)",Economic Policy & Debt,Balance of payments,Current account,Transfers
BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)",Economic Policy & Debt,Balance of payments,Current account,Balances
BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Economic Policy & Debt,Balance of payments,Current account,Balances
BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",Economic Policy & Debt,Balance of payments,Capital & financial account,
BN.GSR.FCTY.CD,"Net primary income (BoP, current US$)",Economic Policy & Debt,Balance of payments,Current account,"Goods, services & income"
BN.GSR.GNFS.CD,"Net trade in goods and services (BoP, current US$)",Economic Policy & Debt,Balance of payments,Current account,Balances
BN.GSR.MRCH.CD,"Net trade in goods (BoP, current US$)",Economic Policy & Debt,Balance of payments,Current account,Balances
BN.KAC.EOMS.CD,"Net errors and omissions (BoP, current US$)",Economic Policy & Debt,Balance of payments,Capital & financial account,
BN.KLT.DINV.CD,"Foreign direct investment, net (BoP, current US$)",Economic Policy & Debt,Balance of payments,Capital & financial account,
BN.KLT.PTXL.CD,"Portfolio Investment, net (BoP, current US$)",Economic Policy & Debt,Balance of payments,Capital & financial account,
BN.RES.INCL.CD,"Reserves and related items (BoP, current US$)",Economic Policy & Debt,Balance of payments,Capital & financial account,
BN.TRF.CURR.CD,"Net secondary income (BoP, current US$)",Economic Policy & Debt,Balance of payments,Current account,Transfers
BN.TRF.KOGT.CD,"Net capital account (BoP, current US$)",Economic Policy & Debt,Balance of payments,Capital & financial account,
BX.GRT.EXTA.CD.WD,"Grants, excluding technical cooperation (BoP, current US$)",Economic Policy & Debt,Balance of payments,Reserves & other items,
BX.GRT.TECH.CD.WD,"Technical cooperation grants (BoP, current US$)",Economic Policy & Debt,Balance of payments,Reserves & other items,
BX.GSR.CCIS.CD,"ICT service exports (BoP, current US$)",Infrastructure,Communications,,
BX.GSR.CCIS.ZS,"ICT service exports (% of service exports, BoP)",Infrastructure,Communications,,
BX.GSR.CMCP.ZS,"Communications, computer, etc. (% of service exports, BoP)",Economic Policy & Debt,Balance of payments,Current account,"Goods, services & income"
BX.GSR.FCTY.CD,"Primary income receipts (BoP, current US$)",Economic Policy & Debt,Balance of payments,Current account,"Goods, services & income"
BX.GSR.GNFS.CD,"Exports of goods and services (BoP, current US$)",Economic Policy & Debt,Balance of payments,Current account,"Goods, services & income"
BX.GSR.INSF.ZS,"Insurance and financial services (% of service exports, BoP)",Economic Policy & Debt,Balance of payments,Current account,"Goods, services & income"
BX.GSR.MRCH.CD,"Goods exports (BoP, current US$)",Economic Policy & Debt,Balance of payments,Current account,"Goods, services & income"
BX.GSR.NFSV.CD,"Service exports (BoP, current US$)",Economic Policy & Debt,Balance of payments,Current account,"Goods, services & income"
BX.GSR.ROYL.CD,"Charges for the use of intellectual property, receipts (BoP, current US$)",Economic Policy & Debt,Balance of payments,Current account,"Goods, services & income"
BX.GSR.TOTL.CD,"Exports of goods, services and primary income (BoP, current US$)",Economic Policy & Debt,Balance of payments,Current account,"Goods, services & income"
BX.GSR.TRAN.ZS,"Transport services (% of service exports, BoP)",Economic Policy & Debt,Balance of payments,Current account,"Goods, services & income"
BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",Economic Policy & Debt,Balance of payments,Current account,"Goods, services & income"
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",Economic Policy & Debt,Balance of payments,Capital & financial account,
BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",Economic Policy & Debt,Balance of payments,Capital & financial account,
BX.KLT.DREM.CD.DT,"Primary income on FDI, payments (current US$)",Economic Policy & Debt,Balance of payments,Capital & financial account,
BX.PEF.TOTL.CD.WD,"Portfolio equity, net inflows (BoP, current US$)",Economic Policy & Debt,Balance of payments,Capital & financial account,
BX.TRF.CURR.CD,"Secondary income receipts (BoP, current US$)",Economic Policy & Debt,Balance of payments,Current account,Transfers
BX.TRF.PWKR.CD,"Personal transfers, receipts (BoP, current US$)",Economic Policy & Debt,Balance of payments,Current account,Transfers
BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)",Economic Policy & Debt,Balance of payments,Current account,Transfers
BX.TRF.PWKR.DT.GD.ZS,"Personal remittances, received (% of GDP)",Economic Policy & Debt,Balance of payments,Current account,Transfers
CM.MKT.INDX.ZG,S&P Global Equity Indices (annual % change),Financial Sector,Capital markets,,
CM.MKT.LCAP.CD,Market capitalization of listed domestic companies (current US$),Financial Sector,Capital markets,,
CM.MKT.LCAP.GD.ZS,Market capitalization of listed domestic companies (% of GDP),Financial Sector,Capital markets,,
CM.MKT.LDOM.NO,"Listed domestic companies, total",Financial Sector,Capital markets,,
CM.MKT.TRAD.CD,"Stocks traded, total value (current US$)",Financial Sector,Capital markets,,
CM.MKT.TRAD.GD.ZS,"Stocks traded, total value (% of GDP)",Financial Sector,Capital markets,,
CM.MKT.TRNR,"Stocks traded, turnover ratio of domestic shares (%)",Financial Sector,Capital markets,,
DC.DAC.AUSL.CD,"Net bilateral aid flows from DAC donors, Australia (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.AUTL.CD,"Net bilateral aid flows from DAC donors, Austria (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.BELL.CD,"Net bilateral aid flows from DAC donors, Belgium (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.CANL.CD,"Net bilateral aid flows from DAC donors, Canada (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.CECL.CD,"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.CHEL.CD,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.CZEL.CD,"Net bilateral aid flows from DAC donors, Czech Republic (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.DEUL.CD,"Net bilateral aid flows from DAC donors, Germany (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.DNKL.CD,"Net bilateral aid flows from DAC donors, Denmark (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.ESPL.CD,"Net bilateral aid flows from DAC donors, Spain (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.FINL.CD,"Net bilateral aid flows from DAC donors, Finland (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.FRAL.CD,"Net bilateral aid flows from DAC donors, France (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.GBRL.CD,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.GRCL.CD,"Net bilateral aid flows from DAC donors, Greece (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.HUNL.CD,"Net bilateral aid flows from DAC donors, Hungary (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.IRLL.CD,"Net bilateral aid flows from DAC donors, Ireland (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.ISLL.CD,"Net bilateral aid flows from DAC donors, Iceland (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.ITAL.CD,"Net bilateral aid flows from DAC donors, Italy (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.JPNL.CD,"Net bilateral aid flows from DAC donors, Japan (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.KORL.CD,"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.LUXL.CD,"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.NLDL.CD,"Net bilateral aid flows from DAC donors, Netherlands (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.NORL.CD,"Net bilateral aid flows from DAC donors, Norway (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.NZLL.CD,"Net bilateral aid flows from DAC donors, New Zealand (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.POLL.CD,"Net bilateral aid flows from DAC donors, Poland (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.PRTL.CD,"Net bilateral aid flows from DAC donors, Portugal (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.SVKL.CD,"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.SVNL.CD,"Net bilateral aid flows from DAC donors, Slovenia (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.SWEL.CD,"Net bilateral aid flows from DAC donors, Sweden (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",Economic Policy & Debt,Official development assistance,,
DC.DAC.USAL.CD,"Net bilateral aid flows from DAC donors, United States (current US$)",Economic Policy & Debt,Official development assistance,,
DT.AMT.BLAT.CD,"PPG, bilateral (AMT, current US$)",Economic Policy & Debt,External debt,Amortization,
DT.AMT.BLTC.CD,"PPG, bilateral concessional (AMT, current US$)",Economic Policy & Debt,External debt,Amortization,
DT.AMT.DIMF.CD,"IMF repurchases (AMT, current US$)",Economic Policy & Debt,External debt,Amortization,
DT.AMT.DLTF.CD,"Principal repayments on external debt, long-term + IMF (AMT, current US$)",Economic Policy & Debt,External debt,Amortization,
DT.AMT.DLXF.CD,"Principal repayments on external debt, long-term (AMT, current US$)",Economic Policy & Debt,External debt,Amortization,
DT.AMT.DPNG.CD,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",Economic Policy & Debt,External debt,Amortization,
DT.AMT.DPPG.CD,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",Economic Policy & Debt,External debt,Amortization,
DT.AMT.MIBR.CD,"PPG, IBRD (AMT, current US$)",Economic Policy & Debt,External debt,Amortization,
DT.AMT.MIDA.CD,"PPG, IDA (AMT, current US$)",Economic Policy & Debt,External debt,Amortization,
DT.AMT.MLAT.CD,"PPG, multilateral (AMT, current US$)",Economic Policy & Debt,External debt,Amortization,
DT.AMT.MLTC.CD,"PPG, multilateral concessional (AMT, current US$)",Economic Policy & Debt,External debt,Amortization,
DT.AMT.OFFT.CD,"PPG, official creditors (AMT, current US$)",Economic Policy & Debt,External debt,Amortization,
DT.AMT.PBND.CD,"PPG, bonds (AMT, current US$)",Economic Policy & Debt,External debt,Amortization,
DT.AMT.PCBK.CD,"PPG, commercial banks (AMT, current US$)",Economic Policy & Debt,External debt,Amortization,
DT.AMT.PNGB.CD,"PNG, bonds (AMT, current US$)",Economic Policy & Debt,External debt,Amortization,
DT.AMT.PNGC.CD,"PNG, commercial banks and other creditors (AMT, current US$)",Economic Policy & Debt,External debt,Amortization,
DT.AMT.PROP.CD,"PPG, other private creditors (AMT, current US$)",Economic Policy & Debt,External debt,Amortization,
DT.AMT.PRVT.CD,"PPG, private creditors (AMT, current US$)",Economic Policy & Debt,External debt,Amortization,
DT.AXA.DPPG.CD,"Principal arrears, long-term DOD (US$)",Economic Policy & Debt,External debt,"Arrears, reschedulings, etc.",
DT.AXA.OFFT.CD,"Principal arrears, official creditors (current US$)",Economic Policy & Debt,External debt,"Arrears, reschedulings, etc.",
DT.AXA.PRVT.CD,"Principal arrears, private creditors (current US$)",Economic Policy & Debt,External debt,"Arrears, reschedulings, etc.",
DT.AXF.DPPG.CD,Principal forgiven (current US$),Economic Policy & Debt,External debt,"Arrears, reschedulings, etc.",
DT.AXR.DPPG.CD,Principal rescheduled (current US$),Economic Policy & Debt,External debt,"Arrears, reschedulings, etc.",
DT.AXR.OFFT.CD,"Principal rescheduled, official (current US$)",Economic Policy & Debt,External debt,"Arrears, reschedulings, etc.",
DT.AXR.PRVT.CD,"Principal rescheduled, private (current US$)",Economic Policy & Debt,External debt,"Arrears, reschedulings, etc.",
DT.COM.DPPG.CD,"Commitments, public and publicly guaranteed (COM, current US$)",Economic Policy & Debt,External debt,Commitments,
DT.COM.MIBR.CD,"Commitments, IBRD (COM, current US$)",Economic Policy & Debt,External debt,Commitments,
DT.COM.MIDA.CD,"Commitments, IDA (COM, current US$)",Economic Policy & Debt,External debt,Commitments,
DT.COM.OFFT.CD,"Commitments, official creditors (COM, current US$)",Economic Policy & Debt,External debt,Commitments,
DT.COM.PRVT.CD,"Commitments, private creditors (COM, current US$)",Economic Policy & Debt,External debt,Commitments,
DT.CUR.DMAK.ZS,"Currency composition of PPG debt, Deutsche mark (%)",Economic Policy & Debt,External debt,Currency composition,
DT.CUR.EURO.ZS,"Currency composition of PPG debt, Euro (%)",Economic Policy & Debt,External debt,Currency composition,
DT.CUR.FFRC.ZS,"Currency composition of PPG debt, French franc (%)",Economic Policy & Debt,External debt,Currency composition,
DT.CUR.JYEN.ZS,"Currency composition of PPG debt, Japanese yen (%)",Economic Policy & Debt,External debt,Currency composition,
DT.CUR.MULC.ZS,"Currency composition of PPG debt, Multiple currencies (%)",Economic Policy & Debt,External debt,Currency composition,
DT.CUR.OTHC.ZS,"Currency composition of PPG debt, all other currencies (%)",Economic Policy & Debt,External debt,Currency composition,
DT.CUR.SDRW.ZS,"Currency composition of PPG debt, SDR (%)",Economic Policy & Debt,External debt,Currency composition,
DT.CUR.SWFR.ZS,"Currency composition of PPG debt, Swiss franc (%)",Economic Policy & Debt,External debt,Currency composition,
DT.CUR.UKPS.ZS,"Currency composition of PPG debt, Pound sterling (%)",Economic Policy & Debt,External debt,Currency composition,
DT.CUR.USDL.ZS,"Currency composition of PPG debt, U.S. dollars (%)",Economic Policy & Debt,External debt,Currency composition,
DT.DFR.DPPG.CD,Debt forgiveness or reduction (current US$),Economic Policy & Debt,External debt,"Arrears, reschedulings, etc.",
DT.DIS.BLAT.CD,"PPG, bilateral (DIS, current US$)",Economic Policy & Debt,External debt,Disbursements,
DT.DIS.BLTC.CD,"PPG, bilateral concessional (DIS, current US$)",Economic Policy & Debt,External debt,Disbursements,
DT.DIS.DIMF.CD,"IMF purchases (DIS, current US$)",Economic Policy & Debt,External debt,Disbursements,
DT.DIS.DLTF.CD,"Disbursements on external debt, long-term + IMF (DIS, current US$)",Economic Policy & Debt,External debt,Disbursements,
DT.DIS.DLXF.CD,"Disbursements on external debt, long-term (DIS, current US$)",Economic Policy & Debt,External debt,Disbursements,
DT.DIS.DPNG.CD,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",Economic Policy & Debt,External debt,Disbursements,
DT.DIS.DPPG.CD,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",Economic Policy & Debt,External debt,Disbursements,
DT.DIS.IDAG.CD,IDA grants (current US$),Economic Policy & Debt,Official development assistance,,
DT.DIS.MIBR.CD,"PPG, IBRD (DIS, current US$)",Economic Policy & Debt,External debt,Disbursements,
DT.DIS.MIDA.CD,"PPG, IDA (DIS, current US$)",Economic Policy & Debt,External debt,Disbursements,
DT.DIS.MLAT.CD,"PPG, multilateral (DIS, current US$)",Economic Policy & Debt,External debt,Disbursements,
DT.DIS.MLTC.CD,"PPG, multilateral concessional (DIS, current US$)",Economic Policy & Debt,External debt,Disbursements,
DT.DIS.OFFT.CD,"PPG, official creditors (DIS, current US$)",Economic Policy & Debt,External debt,Disbursements,
DT.DIS.PBND.CD,"PPG, bonds (DIS, current US$)",Economic Policy & Debt,External debt,Disbursements,
DT.DIS.PCBK.CD,"PPG, commercial banks (DIS, current US$)",Economic Policy & Debt,External debt,Disbursements,
DT.DIS.PNGB.CD,"PNG, bonds (DIS, current US$)",Economic Policy & Debt,External debt,Disbursements,
DT.DIS.PNGC.CD,"PNG, commercial banks and other creditors (DIS, current US$)",Economic Policy & Debt,External debt,Disbursements,
DT.DIS.PROP.CD,"PPG, other private creditors (DIS, current US$)",Economic Policy & Debt,External debt,Disbursements,
DT.DIS.PRVT.CD,"PPG, private creditors (DIS, current US$)",Economic Policy & Debt,External debt,Disbursements,
DT.DOD.ALLC.CD,"External debt stocks, concessional (DOD, current US$)",Economic Policy & Debt,External debt,Debt outstanding,
DT.DOD.ALLC.ZS,Concessional debt (% of total external debt),Economic Policy & Debt,External debt,Debt ratios & other items,
DT.DOD.BLAT.CD,"PPG, bilateral (DOD, current US$)",Economic Policy & Debt,External debt,Debt outstanding,
DT.DOD.BLTC.CD,"PPG, bilateral concessional (DOD, current US$)",Economic Policy & Debt,External debt,Debt outstanding,
DT.DOD.DECT.CD,"External debt stocks, total (DOD, current US$)",Economic Policy & Debt,External debt,Debt outstanding,
DT.DOD.DECT.CD.CG,Total change in external debt stocks (current US$),Economic Policy & Debt,External debt,"Arrears, reschedulings, etc.",
DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)",Economic Policy & Debt,External debt,Debt ratios & other items,
DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),Economic Policy & Debt,External debt,Debt ratios & other items,
DT.DOD.DIMF.CD,"Use of IMF credit (DOD, current US$)",Economic Policy & Debt,External debt,Debt outstanding,
DT.DOD.DLXF.CD,"External debt stocks, long-term (DOD, current US$)",Economic Policy & Debt,External debt,Debt outstanding,
DT.DOD.DPNG.CD,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",Economic Policy & Debt,External debt,Debt outstanding,
DT.DOD.DPPG.CD,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",Economic Policy & Debt,External debt,Debt outstanding,
DT.DOD.DSTC.CD,"External debt stocks, short-term (DOD, current US$)",Economic Policy & Debt,External debt,Debt outstanding,
DT.DOD.DSTC.IR.ZS,Short-term debt (% of total reserves),Economic Policy & Debt,External debt,Debt ratios & other items,
DT.DOD.DSTC.XP.ZS,"Short-term debt (% of exports of goods, services and primary income)",Economic Policy & Debt,External debt,Debt ratios & other items,
DT.DOD.DSTC.ZS,Short-term debt (% of total external debt),Economic Policy & Debt,External debt,Debt ratios & other items,
DT.DOD.MDRI.CD,Debt forgiveness grants (current US$),Economic Policy & Debt,Official development assistance,,
DT.DOD.MIBR.CD,"PPG, IBRD (DOD, current US$)",Economic Policy & Debt,External debt,Debt outstanding,
DT.DOD.MIDA.CD,"PPG, IDA (DOD, current US$)",Economic Policy & Debt,External debt,Debt outstanding,
DT.DOD.MLAT.CD,"PPG, multilateral (DOD, current US$)",Economic Policy & Debt,External debt,Debt outstanding,
DT.DOD.MLAT.ZS,Multilateral debt (% of total external debt),Economic Policy & Debt,External debt,Debt ratios & other items,
DT.DOD.MLTC.CD,"PPG, multilateral concessional (DOD, current US$)",Economic Policy & Debt,External debt,Debt outstanding,
DT.DOD.MWBG.CD,"IBRD loans and IDA credits (DOD, current US$)",Economic Policy & Debt,External debt,Debt outstanding,
DT.DOD.OFFT.CD,"PPG, official creditors (DOD, current US$)",Economic Policy & Debt,External debt,Debt outstanding,
DT.DOD.PBND.CD,"PPG, bonds (DOD, current US$)",Economic Policy & Debt,External debt,Debt outstanding,
DT.DOD.PCBK.CD,"PPG, commercial banks (DOD, current US$)",Economic Policy & Debt,External debt,Debt outstanding,
DT.DOD.PNGB.CD,"PNG, bonds (DOD, current US$)",Economic Policy & Debt,External debt,Debt outstanding,
DT.DOD.PNGC.CD,"PNG, commercial banks and other creditors (DOD, current US$)",Economic Policy & Debt,External debt,Debt outstanding,
DT.DOD.PROP.CD,"PPG, other private creditors (DOD, current US$)",Economic Policy & Debt,External debt,Debt outstanding,
DT.DOD.PRVS.CD,"External debt stocks, long-term private sector (DOD, current US$)",Economic Policy & Debt,External debt,Debt outstanding,
DT.DOD.PRVT.CD,"PPG, private creditors (DOD, current US$)",Economic Policy & Debt,External debt,Debt outstanding,
DT.DOD.PUBS.CD,"External debt stocks, long-term public sector (DOD, current US$)",Economic Policy & Debt,External debt,Debt outstanding,
DT.DOD.PVLX.CD,Present value of external debt (current US$),Economic Policy & Debt,External debt,Debt outstanding,
DT.DOD.PVLX.EX.ZS,"Present value of external debt (% of exports of goods, services and primary income)",Economic Policy & Debt,External debt,Debt ratios & other items,
DT.DOD.PVLX.GN.ZS,Present value of external debt (% of GNI),Economic Policy & Debt,External debt,Debt ratios & other items,
DT.DOD.RSDL.CD,"Residual, debt stock-flow reconciliation (current US$)",Economic Policy & Debt,External debt,"Arrears, reschedulings, etc.",
DT.DOD.VTOT.CD,"External debt stocks, variable rate (DOD, current US$)",Economic Policy & Debt,External debt,Debt outstanding,
DT.DSB.DPPG.CD,Debt buyback (current US$),Economic Policy & Debt,External debt,"Arrears, reschedulings, etc.",
DT.DSF.DPPG.CD,Debt stock reduction (current US$),Economic Policy & Debt,External debt,"Arrears, reschedulings, etc.",
DT.DXR.DPPG.CD,Debt stock rescheduled (current US$),Economic Policy & Debt,External debt,"Arrears, reschedulings, etc.",
DT.GPA.DPPG,Average grace period on new external debt commitments (years),Economic Policy & Debt,External debt,Terms,
DT.GPA.OFFT,"Average grace period on new external debt commitments, official (years)",Economic Policy & Debt,External debt,Terms,
DT.GPA.PRVT,"Average grace period on new external debt commitments, private (years)",Economic Policy & Debt,External debt,Terms,
DT.GRE.DPPG,Average grant element on new external debt commitments (%),Economic Policy & Debt,External debt,Terms,
DT.GRE.OFFT,"Average grant element on new external debt commitments, official (%)",Economic Policy & Debt,External debt,Terms,
DT.GRE.PRVT,"Average grant element on new external debt commitments, private (%)",Economic Policy & Debt,External debt,Terms,
DT.INR.DPPG,Average interest on new external debt commitments (%),Economic Policy & Debt,External debt,Terms,
DT.INR.OFFT,"Average interest on new external debt commitments, official (%)",Economic Policy & Debt,External debt,Terms,
DT.INR.PRVT,"Average interest on new external debt commitments, private (%)",Economic Policy & Debt,External debt,Terms,
DT.INT.BLAT.CD,"PPG, bilateral (INT, current US$)",Economic Policy & Debt,External debt,Interest,
DT.INT.BLTC.CD,"PPG, bilateral concessional (INT, current US$)",Economic Policy & Debt,External debt,Interest,
DT.INT.DECT.CD,"Interest payments on external debt, total (INT, current US$)",Economic Policy & Debt,External debt,Interest,
DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)",Economic Policy & Debt,External debt,Debt ratios & other items,
DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),Economic Policy & Debt,External debt,Debt ratios & other items,
DT.INT.DIMF.CD,"IMF charges (INT, current US$)",Economic Policy & Debt,External debt,Interest,
DT.INT.DLXF.CD,"Interest payments on external debt, long-term (INT, current US$)",Economic Policy & Debt,External debt,Interest,
DT.INT.DPNG.CD,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",Economic Policy & Debt,External debt,Interest,
DT.INT.DPPG.CD,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",Economic Policy & Debt,External debt,Interest,
DT.INT.DSTC.CD,"Interest payments on external debt, short-term (INT, current US$)",Economic Policy & Debt,External debt,Interest,
DT.INT.MIBR.CD,"PPG, IBRD (INT, current US$)",Economic Policy & Debt,External debt,Interest,
DT.INT.MIDA.CD,"PPG, IDA (INT, current US$)",Economic Policy & Debt,External debt,Interest,
DT.INT.MLAT.CD,"PPG, multilateral (INT, current US$)",Economic Policy & Debt,External debt,Interest,
DT.INT.MLTC.CD,"PPG, multilateral concessional (INT, current US$)",Economic Policy & Debt,External debt,Interest,
DT.INT.OFFT.CD,"PPG, official creditors (INT, current US$)",Economic Policy & Debt,External debt,Interest,
DT.INT.PBND.CD,"PPG, bonds (INT, current US$)",Economic Policy & Debt,External debt,Interest,
